"","CaptureEventID","Date","Time (24 hour)","Month (1=Jan.)","Year","Species","Number Of Animals","Standing","Resting","Moving","Eating","Interacting","Babies","Camera Site","Longitude (m)","Latitude (m)","Habitat","Amount of Shade","Distance to River (m)","Distance to Confluence (m)","Distance to Kopje (m)","Tree Density Measure","Lion Risk (Wet)","Lion Risk (Dry)","Greeness (Wet)","Greeness (Dry)","Camera Mount"
"1","ASG0002kjh","07/18/2010","4:26:14 PM",7,2010,"human",1,1,0,0,0,1,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"2","ASG0002kji","07/18/2010","4:26:30 PM",7,2010,"human",2,0,1,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"3","ASG0002kjm","07/24/2010","8:20:10 AM",7,2010,"gazelleGrants",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"4","ASG0002kjn","07/24/2010","10:14:32 AM",7,2010,"reedbuck",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"5","ASG0002kjo","07/30/2010","3:59:42 AM",7,2010,"dikDik",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"6","ASG0002kjp","07/30/2010","5:20:22 AM",7,2010,"zebra",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"7","ASG0002kjs","07/30/2010","8:57:28 PM",7,2010,"zebra",1,0,0,0,1,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"8","ASG0002kjt","08/01/2010","5:35:58 PM",8,2010,"gazelleGrants",3,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"9","ASG0002kjx","08/05/2010","2:24:04 AM",8,2010,"zebra",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"10","ASG0002kjy","08/05/2010","2:29:02 AM",8,2010,"zebra",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"11","ASG0002kk0","08/05/2010","2:57:04 AM",8,2010,"zebra",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"12","ASG0002kk2","08/10/2010","6:35:06 PM",8,2010,"human",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"13","ASG0002kk3","08/10/2010","6:41:06 PM",8,2010,"human",1,0,0,0,0,1,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"14","ASG0002kk4","08/10/2010","6:41:30 PM",8,2010,"human",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"15","ASG0002kk4","08/10/2010","6:41:30 PM",8,2010,"human",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"16","ASG0002kk4","08/10/2010","6:41:30 PM",8,2010,"human",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"17","ASG0002kk5","08/10/2010","6:43:08 PM",8,2010,"human",1,0,0,0,0,1,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"18","ASG0002kk5","08/10/2010","6:43:08 PM",8,2010,"human",1,0,0,0,0,1,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"19","ASG0002kk5","08/10/2010","6:43:08 PM",8,2010,"human",1,0,0,0,0,1,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"20","ASG0002kk6","08/10/2010","6:44:12 PM",8,2010,"human",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"21","ASG0002kk6","08/10/2010","6:44:12 PM",8,2010,"human",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"22","ASG0002kk6","08/10/2010","6:44:12 PM",8,2010,"human",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"23","ASG0002kk7","08/10/2010","6:44:46 PM",8,2010,"human",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"24","ASG0002kk7","08/10/2010","6:44:46 PM",8,2010,"human",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"25","ASG0002kk7","08/10/2010","6:44:46 PM",8,2010,"human",1,1,0,0,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"26","ASG0002kk9","08/20/2010","3:37:00 AM",8,2010,"porcupine",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"27","ASG0002kk9","08/20/2010","3:37:00 AM",8,2010,"porcupine",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
"28","ASG0002kk9","08/20/2010","3:37:00 AM",8,2010,"porcupine",1,0,0,1,0,0,0,"B04",695238,9729497,"Dense Woodland",3,1649.2395,2218.615169,6847.218456,7.285714286,0.000496262,0.000477992,5979.5,3844,"Tree"
